Player,Team,REC,YDS,TDS,FL,FPTS
Travis Kelce,KC,98.5,"1,250.60",9.4,0.6,229.6
George Kittle,SF,84.9,"1,156.40",6.4,0.4,195.9
Zach Ertz,PHI,92.3,980.6,7.2,0.5,186.1
O.J. Howard,TB,57,817.1,6.4,0.5,147.8
Evan Engram,NYG,67.9,813.4,5.3,0.5,146.1
Jared Cook,NO,60.6,760.2,5.9,0.4,140.9
Hunter Henry,LAC,55.3,705.6,6.1,0.5,134.1
Vance McDonald,PIT,58.4,670.1,4.9,0.5,124.4
Eric Ebron,IND,52.1,590.7,6.1,0.4,121.1
David Njoku,CLE,54.2,639.3,4.9,0.4,119.4
Jordan Reed,WAS,62.8,636.4,3.8,0.5,116.9
Austin Hooper,ATL,61.4,598,4.3,0.4,115.4
Delanie Walker,TEN,56.1,620.2,4.1,0.5,113.5
Mark Andrews,BAL,46,606.1,4.1,0.1,108
Jimmy Graham,GB,51.6,556.3,4.1,0.4,105.3
Greg Olsen,CAR,46.9,547.1,4.4,0.1,104.5
Kyle Rudolph,MIN,52.2,509.6,4.3,0.4,102.3
Trey Burton,CHI,48.5,528.2,4.3,0.5,102
Jack Doyle,IND,54.4,509.7,4.1,0.8,101.3
Noah Fant,DEN,45.9,515,3.6,0.6,94.7
T.J. Hockenson,DET,48.2,506.7,3.7,1.1,94.5
Tyler Eifert,CIN,42.1,468.9,3.6,0.1,89.3
Jason Witten,DAL,45.2,442.7,3.4,0.4,86.3
Chris Herndon IV,NYJ,33.9,416.8,3.5,0.1,79.3
Dallas Goedert,PHI,34.4,357.7,4,0.1,76.8
Darren Waller,OAK,37.5,409.4,3,0.4,76.8
Mike Gesicki,MIA,35,353.3,2.2,0.8,64.4
Will Dissly,SEA,25.1,330.4,3.1,0.1,63.9
Benjamin Watson,NE,29.3,337.7,2.4,0.1,62.4
Cameron Brate,TB,27.7,294.4,3.1,0.4,61.3
Vernon Davis,WAS,27.3,344.8,2.1,0.1,60.6
Gerald Everett,LAR,27.7,300.9,2.6,0.1,59.5
Geoff Swaim,JAC,29.7,297.5,1.8,0.1,55.4
Jace Sternberger,GB,26.9,285.6,2.2,0.6,54.1
Ian Thomas,CAR,26.4,268.4,2.1,0,52.3
Matt LaCosse,NE,26.4,291.2,1.6,0.1,52
Josh Oliver,JAC,25.9,280.3,1.5,0.6,48.8
Ricky Seals-Jones,ARI,23.1,257.2,1.8,0,48.3
Hayden Hurst,BAL,21.1,253.8,1.9,0.1,47
Jordan Thomas,HOU,22,239.8,1.9,0.1,46.5
Blake Jarwin,DAL,21.8,233.6,1.8,0,45.2
Tyler Higbee,LAR,21.2,240,1.7,0,44.7
C.J. Uzomah,CIN,23.3,239.9,1.5,0,44.5
Charles Clay,ARI,24.7,237.3,1.5,0.4,44.4
Jesse James,DET,22.2,230.4,1.6,0,43.7
Irv Smith Jr.,MIN,21.2,218.2,1.7,0.6,41.4
Jeff Heuerman,DEN,21,204.2,1.6,0,40.4
Nick Vannett,SEA,21,202.1,1.6,0,40.1
Adam Shaheen,CHI,19.5,198,1.7,0,39.6
Kahale Warring,HOU,19,204.9,1.6,0.5,38.4
Tyler Kroft,BUF,19.2,200.5,1.4,0.1,37.7
Mo Alie-Cox,IND,14.9,194,1.8,0.1,37.4
James O'Shaughnessy,JAC,19.7,197.8,1.1,0,35.9
Rhett Ellison,NYG,18.1,191.5,1.2,0,35.6
Dawson Knox,BUF,17.3,200.1,1.1,0.1,35.2
Jason Croom,BUF,16.6,196.7,1.1,0.7,33.5
Jonnu Smith,TEN,16.5,177.8,1.2,0,33
Jordan Akins,HOU,16.2,190.2,1,0,32.8
Virgil Green,LAC,15,160.8,1.2,0.5,30
Drew Sample,CIN,14.5,141.2,1.2,0.5,27.6
Jacob Hollister,SEA,12.8,141.8,1.1,0.1,26.8
Demetrius Harris,CLE,11,125.9,1.4,0,26.7
Jake Butt,DEN,13,135.2,1.1,0.1,26.4
Tanner Hudson,TB,12,142,1,0,26.2
Maxx Williams,ARI,15.3,133.3,0.9,0,26.1
Dwayne Allen,MIA,14.9,129,0.9,0,25.8
Nick O'Leary,MIA,10.8,138.4,0.9,0.1,24.8
Jakob Johnson,NE,12,125,1,0,24.5
Ed Dickson,SEA,11.3,122.3,1.1,0,24.3
Josh Hill,NO,12.8,127.6,1,0.5,24.2
Xavier Grimble,PIT,11.2,131.9,1,0.6,23.4
Logan Paulsen,ATL,9.7,104.9,1,0,21.5
Levine Toilolo,SF,9.7,111.9,0.8,0,20.8
Anthony Firkser,TEN,9.3,108.7,0.9,0,20.6
Ryan Griffin,NYJ,9.8,114.4,0.7,0,20.6
Eric Tomlinson,NYJ,10.9,101.1,0.7,0,19.7
Foster Moreau,OAK,9.7,98,0.7,0,18.9
Luke Willson,OAK,11.7,102.2,0.4,0,18.8
Nick Boyle,BAL,10.5,100.9,0.6,0,18.6
Blake Bell,KC,9,93.1,0.8,0,18.3
Derek Carrier,OAK,8.1,82.1,1,0,18.1
Luke Stocker,ATL,6.9,76,1.1,0,17.6
Zach Gentry,PIT,8.6,91.1,0.7,0,17.3
MyCole Pruitt,TEN,8.1,83.3,0.8,0,16.9
Robert Tonyan,GB,6.5,97.3,0.6,0,16.6
Garrett Celek,SF,6.3,80.6,0.9,0,16.5
Dan Arnold,NO,6.9,77.9,0.7,0,15.7
Marcedes Lewis,GB,6.6,75.6,0.7,0,15.3
Trevon Wesco,NYJ,7.5,81.1,0.6,0.1,15.2
Tyler Conklin,NE,7.8,80.9,0.5,0,15.1
Lance Kendricks,NE,7.7,73,0.6,0,14.5
Stephen Anderson,NE,6.1,83.2,0.5,0,14.2
Daniel Brown,NYJ,6.9,75.6,0.5,0.1,14.1
Chris Manhertz,CAR,5.3,74.4,0.7,0,14.1
Garrett Griffin,NO,6,49,1,0,13.9
Alize Mack,NO,6.9,67.1,0.6,0,13.8
Kaden Smith,SF,6.4,71.6,0.6,0,13.7
Seth DeValve,CLE,6,74.4,0.5,0,13.6
Isaac Nauta,DET,6.9,65,0.6,0,13.3
Antony Auclair,TB,7.1,63.6,0.4,0,12.5
Darren Fells,HOU,5.3,70.4,0.4,0,12.3
Dalton Schultz,DAL,7,72.6,0.3,0.1,12.2
Jeremy Sprinkle,WAS,5.9,61.9,0.5,0.1,12.1
Durham Smythe,MIA,6,64.5,0.4,0.1,11.6
Cethan Carter,CIN,5,47.1,0.6,0,10.6
Richard Rodgers,PHI,4.9,54.1,0.4,0,10.2
Tyrone Swoopes,SEA,4.1,51.2,0.5,0,10.1
Jason Vander Laan,CAR,2.4,53.3,0.5,0,9.6
Jordan Franks,CIN,4.2,49.9,0.4,0,9.5
Caleb Wilson,ARI,5.3,57.7,0.1,0,9.1
Lee Smith,BUF,3.5,41.2,0.4,0,8.1
Sean Culkin,LAC,3.4,39.7,0.4,0,7.7
Deon Yelder,KC,3.7,39.3,0.3,0,7.7
Eric Saubert,ATL,3.7,37.3,0.3,0,7.4
Joshua Perkins,PHI,3.5,37.9,0.3,0.1,7.2
Jordan Leggett,TB,4.2,29.7,0.3,0,6.9
Cole Wick,TEN,3.6,33.2,0.3,0,6.7
David Morgan,MIN,3.8,36.4,0.2,0,6.6
Logan Thomas,DET,2.9,24.7,0.4,0,6.5
Scott Simonson,NYG,3.4,31.2,0.3,0,6.3
Jerome Cunningham,DET,3,30.6,0.3,0,6.1
Ben Braunecker,CHI,3.3,33.7,0.2,0,6.1
Tommy Sweeney,BUF,2.9,33,0.2,0,5.7
Ross Dwelley,SF,3.1,26.5,0.2,0,5.5
Gabe Holmes,IND,2.4,24.2,0.3,0,5.3
Clive Walford,MIA,2.6,24.1,0.3,0,5.2
Ross Travis,IND,2.4,19.5,0.3,0,5.2
Ben Koyack,JAC,2.4,22.4,0.3,0,5.1
Jerell Adams,HOU,2.8,33,0.1,0,5.1
Matt Flanagan,WAS,2,20.4,0.2,0,4.3
A.J. Derby,NO,2,23.5,0.1,0,4
Ryan Izzo,MIN,1.8,20.8,0.2,0,3.9
Evan Baylis,GB,1.3,13.9,0.3,0,3.9
C.J. Conrad,NYG,1.8,19.4,0.1,0,3.5
Orson Charles,CLE,1.4,14.1,0.2,0,3.5
Troy Fumagalli,DEN,1.8,18.6,0.1,0,3.3
Mason Schreck,CIN,1.7,18.6,0.1,0,3.3
Ryan Hewitt,TEN,1.5,17.1,0.1,0,3.1
Will Tye,PHI,1.2,12.4,0.1,0,2.6
Darrell Daniels,ARI,1.6,14.8,0,0,2.3
Johnny Mundt,LAR,1.2,9.8,0.1,0,2.2
Moritz Bohringer,CIN,0,0,0,0,0
Alex Ellis,PHI,0,0,0,0,0
Vince Mayle,LAC,0,0,0,0,0
Garrett Dickerson,NYG,0,0,0,0,0
Temarrick Hemingway,CAR,0,0,0,0,0
Cole Hikutini,MIN,0,0,0,0,0
Bucky Hodges,NYJ,0,0,0,0,0
Austin Traylor,DET,0,0,0,0,0
Donnie Ernsberger,JAC,0,0,0,0,0
Marcus Lucas,DAL,0,0,0,0,0
